,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost,first_word
183,37,Male,Berlin,Team Lead,12.0,10.0,Head,Python,"Python, PHP, Javascript / Typescript, SQL, Docker",90000.0,30.0,full-time,Unlimited contract,English,11-50,Consulting / Agency,No,Python
184,31,Male,Berlin,QA Engineer,10.0,5.0,Senior,nothing,Python,60000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No,nothing
185,39,Male,Munich,BI IT Consultant,5.0,5.0,Middle,"Qlik BI Tool, SQL","Javascript / Typescript, SQL",56000.0,30.0,full-time,Unlimited contract,German,1000+,Product,No,Qlik
186,29,Male,Munich,Backend Developer,8.0,4.0,Senior,Java,SQL,95000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No,Java
187,36,Male,Nürnberg,Frontend Developer,1.0,0.5,Junior,Javascript,"PHP, SQL",37500.0,28.0,full-time,Temporary contract,German,up to 10,Startup,Yes,Javascript
188,33,Male,Berlin,iOS Developer,10.0,2.0,Middle,Swift,"Ruby, Objective C",67000.0,29.0,full-time,Unlimited contract,English,1000+,Product,No,Swift
189,37,Male,Berlin,Cloud Engineer,15.0,3.0,Senior,Cloud,"Python, .NET, Azure, Kubernetes, Docker",72000.0,36.0,full-time,Unlimited contract,English,1000+,Product,Yes,Cloud
190,30,Male,Ansbach,Software Engineer,4.0,3.0,Junior,PHP,Javascript / Typescript,42000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No,PHP
191,34,Male,Munich,Solutions architect,14.0,6.0,Head,Blockchain,"Python, Kotlin, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",95000.0,24.0,full-time,Unlimited contract,English,101-1000,Startup,No,Blockchain
192,43,Male,Berlin,Backend Developer,5.0,1.5,Middle,Java,Kotlin,64000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No,Java
193,34,Male,Leipzig,Mobile Developer,14.0,2.0,Senior,Android,"Kotlin, Java / Scala, Azure",60000.0,23.0,full-time,Unlimited contract,English,101-1000,Consulting / Agency,No,Android
194,29,Male,Berlin,Backend Developer,9.0,5.0,Senior,Java,"Kotlin, SQL, Azure, Kubernetes, Docker, Mongo",85000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No,Java
195,37,Male,Berlin,Frontend Developer,14.0,5.0,Senior,Angular,"Javascript / Typescript, Azure, Kubernetes, GraphQL",84000.0,30.0,full-time,Unlimited contract,English,1000+,IT Department of established business,No,Angular
196,41,Male,Munich,Senior Program Manager,19.0,5.0,Senior,Autonomous Driving,C/C++,123600.0,33.0,full-time,Unlimited contract,English,101-1000,Product,No,Autonomous
197,33,Male,Mannheim,Software Engineer,6.0,2.0,Middle,c#,.NET,49000.0,28.0,full-time,Unlimited contract,English,51-100,Startup,No,c
198,40,Male,Munich,QA Engineer,18.0,14.0,Lead,Java,"SQL, AWS, Kubernetes, Docker, Groovy",78000.0,30.0,full-time,Unlimited contract,German,1000+,Product,No,Java
199,38,Male,Munich,Backend Developer,12.0,12.0,Senior,Java,"PHP, Javascript / Typescript, SQL",70000.0,30.0,full-time,Unlimited contract,German,101-1000,Telecommunications,No,Java
200,27,Male,Berlin,Backend Developer,7.0,0.0,Senior,go,"SQL, Go, AWS, Kubernetes, Docker",72000.0,30.0,full-time,Unlimited contract,English,11-50,Product,No,go
201,38,Male,Munich,ML Engineer,10.0,3.0,Lead,Python,"SQL, AWS, Azure, Kubernetes, Docker",92000.0,30.0,full-time,Unlimited contract,English,51-100,Consulting / Agency,No,Python
202,42,Male,Berlin,ML Engineer,20.0,20.0,Senior,Python,"Java / Scala, SQL, AWS, Google Cloud, Azure, Docker",80000.0,30.0,full-time,Unlimited contract,German,1000+,Product,No,Python
203,38,Male,Hamburg,Software Engineer,12.0,6.0,Senior,Java,"Python, Java / Scala, AWS, Docker",73000.0,30.0,full-time,Unlimited contract,English,51-100,Product,No,Java
204,30,Male,Berlin,Software Engineer,11.0,2.0,Senior,Kotlin,"Kotlin, .NET, SQL, AWS",55000.0,30.0,full-time,Unlimited contract,English,11-50,Startup,No,Kotlin
205,32,Male,Berlin,Software Engineer,9.0,5.0,Lead,JavaScript,"Javascript / Typescript, Ruby, AWS, Kubernetes, Docker",90000.0,25.0,full-time,Unlimited contract,English,101-1000,Product,No,JavaScript
206,41,Male,Munich,Backend Developer,21.0,3.0,Senior,Java,"Kubernetes, Docker",80000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No,Java
207,34,Male,Berlin,Security Engineer,10.0,4.0,Senior,python,"Javascript / Typescript, AWS, Kubernetes",85000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No,python
208,45,Male,Berlin,Software Engineer,25.0,20.0,Lead,c++,"Python, C/C++, Javascript / Typescript, Ruby, .NET, Java / Scala, SQL, Go, AWS, Kubernetes",75000.0,30.0,full-time,Unlimited contract,German,1000+,Product,No,c
209,34,Male,Berlin,DevOps,6.0,6.0,Middle,"Java, terraform","Python, Kotlin, Javascript / Typescript, Java / Scala, AWS, Kubernetes, Docker",62000.0,28.0,full-time,Unlimited contract,German,1000+,Media,No,Java
